epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.101367,0.087000,0.087000,0.101367,161.670,161.7
1,0.097417,,0.087000,0.101367,39.902,201.6
2,0.100033,,0.087000,0.101367,42.001,243.6
3,0.101783,,0.087000,0.101783,40.132,283.7
4,0.101850,,0.087000,0.101850,38.409,322.1
5,0.099517,,0.087000,0.101850,38.880,361.0
6,0.102350,,0.087000,0.102350,41.176,402.2
7,0.100500,,0.087000,0.102350,41.196,443.4
8,0.102183,,0.087000,0.102350,41.682,485.0
9,0.102117,,0.087000,0.102350,39.544,524.6
