epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.101767,0.105000,0.105000,0.101767,83.191,83.2
1,0.099550,,0.105000,0.101767,8.251,91.4
2,0.098283,,0.105000,0.101767,8.406,99.8
3,0.100133,,0.105000,0.101767,8.753,108.6
4,0.098583,,0.105000,0.101767,8.767,117.4
5,0.101200,,0.105000,0.101767,8.830,126.2
6,0.098317,,0.105000,0.101767,8.789,135.0
7,0.099317,,0.105000,0.101767,8.949,143.9
8,0.098283,,0.105000,0.101767,8.846,152.8
9,0.099750,,0.105000,0.101767,9.134,161.9
10,0.097850,,0.105000,0.101767,9.019,170.9
11,0.098417,,0.105000,0.101767,9.188,180.1
12,0.100483,,0.105000,0.101767,8.921,189.0
13,0.101367,,0.105000,0.101767,9.326,198.4
14,0.099300,,0.105000,0.101767,8.868,207.2
15,0.100067,,0.105000,0.101767,8.636,215.9
16,0.099433,,0.105000,0.101767,8.449,224.3
17,0.102033,,0.105000,0.102033,8.320,232.6
18,0.099950,,0.105000,0.102033,8.424,241.1
19,0.100317,,0.105000,0.102033,8.318,249.4
20,0.100250,,0.105000,0.102033,8.515,257.9
21,0.100417,,0.105000,0.102033,8.404,266.3
22,0.097767,,0.105000,0.102033,8.422,274.7
23,0.101417,,0.105000,0.102033,8.559,283.3
24,0.100817,,0.105000,0.102033,8.441,291.7
25,0.100967,0.104000,0.105000,0.102033,8.473,300.2
26,0.100300,,0.105000,0.102033,8.508,308.7
27,0.098933,,0.105000,0.102033,8.278,317.0
28,0.099550,,0.105000,0.102033,8.186,325.2
29,0.100750,,0.105000,0.102033,8.538,333.7
30,0.100150,,0.105000,0.102033,8.679,342.4
31,0.100033,,0.105000,0.102033,8.723,351.1
32,0.100967,,0.105000,0.102033,8.493,359.6
33,0.100917,,0.105000,0.102033,8.674,368.3
34,0.100733,,0.105000,0.102033,8.405,376.7
35,0.098817,,0.105000,0.102033,8.528,385.2
36,0.099317,,0.105000,0.102033,8.662,393.9
37,0.098350,,0.105000,0.102033,8.554,402.4
38,0.101000,,0.105000,0.102033,8.482,410.9
39,0.097600,,0.105000,0.102033,8.639,419.5
40,0.098800,,0.105000,0.102033,8.576,428.1
41,0.098950,,0.105000,0.102033,8.646,436.8
42,0.099900,,0.105000,0.102033,8.640,445.4
43,0.100450,,0.105000,0.102033,8.812,454.2
44,0.101450,,0.105000,0.102033,8.594,462.8
45,0.100617,,0.105000,0.102033,8.685,471.5
46,0.101650,,0.105000,0.102033,8.670,480.2
47,0.100317,,0.105000,0.102033,8.731,488.9
48,0.100517,,0.105000,0.102033,8.711,497.6
49,0.098233,,0.105000,0.102033,8.712,506.3
50,0.100467,0.091000,0.105000,0.102033,8.664,515.0
51,0.101550,,0.105000,0.102033,8.620,523.6
52,0.097883,,0.105000,0.102033,8.615,532.2
53,0.099083,,0.105000,0.102033,8.634,540.9
54,0.098600,,0.105000,0.102033,8.670,549.5
55,0.099250,,0.105000,0.102033,8.684,558.2
56,0.100367,,0.105000,0.102033,8.632,566.8
57,0.100400,,0.105000,0.102033,8.722,575.6
58,0.101583,,0.105000,0.102033,8.905,584.5
59,0.100533,,0.105000,0.102033,8.924,593.4
60,0.099483,,0.105000,0.102033,8.867,602.3
61,0.098133,,0.105000,0.102033,9.025,611.3
62,0.100300,,0.105000,0.102033,9.308,620.6
63,0.100667,,0.105000,0.102033,9.445,630.0
64,0.098450,,0.105000,0.102033,9.327,639.4
65,0.102283,,0.105000,0.102283,8.986,648.4
66,0.100617,,0.105000,0.102283,9.241,657.6
67,0.099117,,0.105000,0.102283,10.313,667.9
68,0.100333,,0.105000,0.102283,8.848,676.8
69,0.099333,,0.105000,0.102283,8.799,685.6
70,0.100950,,0.105000,0.102283,8.693,694.2
71,0.098933,,0.105000,0.102283,8.735,703.0
72,0.100350,,0.105000,0.102283,8.999,712.0
73,0.097767,,0.105000,0.102283,9.359,721.3
