[env] backend=cuda batch=60000 accumulate=5 chunk=12000 rank=64 T=8 noise_reuse=0
[data] train=60000 test=10000 dir=D:\Rust\snn_t1\mnist_data
epoch     0 | train_acc 0.0770 | best_train 0.0770 | val_acc 0.1040 | best_val 0.1040 | 10.38s | cum 10.4s
epoch    10 | train_acc 0.0820 | best_train 0.0820 | 1.31s | cum 23.8s
epoch    20 | train_acc 0.0876 | best_train 0.0876 | 1.31s | cum 36.9s
epoch    30 | train_acc 0.1032 | best_train 0.1032 | 1.32s | cum 50.0s
epoch    40 | train_acc 0.1171 | best_train 0.1171 | 1.31s | cum 63.2s
epoch    50 | train_acc 0.1108 | best_train 0.1171 | 1.31s | cum 76.3s
epoch    60 | train_acc 0.1054 | best_train 0.1171 | 1.32s | cum 89.4s
epoch    70 | train_acc 0.1053 | best_train 0.1171 | 1.31s | cum 102.5s
epoch    80 | train_acc 0.1045 | best_train 0.1171 | 1.31s | cum 115.6s
epoch    90 | train_acc 0.1058 | best_train 0.1171 | 1.31s | cum 128.7s
epoch   100 | train_acc 0.1077 | best_train 0.1171 | 1.31s | cum 141.8s
epoch   110 | train_acc 0.1086 | best_train 0.1171 | 1.31s | cum 154.9s
epoch   120 | train_acc 0.1073 | best_train 0.1171 | 1.31s | cum 168.0s
epoch   130 | train_acc 0.1073 | best_train 0.1171 | 1.31s | cum 181.1s
epoch   140 | train_acc 0.1103 | best_train 0.1171 | 1.31s | cum 194.2s
epoch   150 | train_acc 0.1144 | best_train 0.1171 | 1.31s | cum 207.3s
epoch   160 | train_acc 0.1184 | best_train 0.1184 | 1.31s | cum 220.7s
epoch   170 | train_acc 0.1218 | best_train 0.1226 | 1.31s | cum 233.9s
epoch   180 | train_acc 0.1234 | best_train 0.1235 | 1.31s | cum 247.0s
epoch   190 | train_acc 0.1259 | best_train 0.1267 | 1.31s | cum 260.1s
epoch   200 | train_acc 0.1321 | best_train 0.1321 | 1.31s | cum 273.3s
epoch   210 | train_acc 0.1384 | best_train 0.1384 | 1.32s | cum 286.4s
epoch   220 | train_acc 0.1450 | best_train 0.1450 | 1.31s | cum 299.5s
epoch   230 | train_acc 0.1550 | best_train 0.1550 | 1.31s | cum 312.6s
epoch   240 | train_acc 0.1684 | best_train 0.1684 | 1.33s | cum 325.8s
epoch   250 | train_acc 0.1848 | best_train 0.1848 | 1.31s | cum 338.9s
epoch   260 | train_acc 0.1983 | best_train 0.1983 | 1.33s | cum 352.1s
epoch   270 | train_acc 0.2130 | best_train 0.2139 | 1.31s | cum 365.3s
epoch   280 | train_acc 0.2307 | best_train 0.2307 | 1.31s | cum 378.4s
epoch   290 | train_acc 0.2471 | best_train 0.2471 | 1.31s | cum 391.5s
epoch   300 | train_acc 0.2617 | best_train 0.2617 | 1.31s | cum 404.7s
epoch   310 | train_acc 0.2749 | best_train 0.2749 | 1.31s | cum 417.8s
epoch   320 | train_acc 0.2839 | best_train 0.2842 | 1.31s | cum 430.9s
epoch   330 | train_acc 0.2921 | best_train 0.2926 | 1.33s | cum 444.1s
epoch   340 | train_acc 0.3019 | best_train 0.3019 | 1.31s | cum 457.3s
epoch   350 | train_acc 0.3091 | best_train 0.3091 | 1.32s | cum 470.4s
epoch   360 | train_acc 0.3109 | best_train 0.3129 | 1.31s | cum 483.5s
epoch   370 | train_acc 0.3164 | best_train 0.3166 | 1.31s | cum 496.7s
epoch   380 | train_acc 0.3252 | best_train 0.3252 | 1.31s | cum 509.8s
epoch   390 | train_acc 0.3286 | best_train 0.3297 | 1.20s | cum 523.2s
epoch   400 | train_acc 0.3322 | best_train 0.3338 | 1.32s | cum 536.4s
epoch   410 | train_acc 0.3400 | best_train 0.3400 | 1.31s | cum 549.5s
epoch   420 | train_acc 0.3424 | best_train 0.3425 | 1.32s | cum 562.7s
epoch   430 | train_acc 0.3453 | best_train 0.3461 | 1.31s | cum 575.8s
epoch   440 | train_acc 0.3506 | best_train 0.3507 | 1.31s | cum 589.0s
epoch   450 | train_acc 0.3557 | best_train 0.3557 | 1.31s | cum 602.1s
epoch   460 | train_acc 0.3607 | best_train 0.3607 | 1.31s | cum 615.3s
epoch   470 | train_acc 0.3648 | best_train 0.3648 | 1.33s | cum 628.5s
epoch   480 | train_acc 0.3673 | best_train 0.3676 | 1.31s | cum 641.6s
epoch   490 | train_acc 0.3722 | best_train 0.3722 | 1.32s | cum 654.8s
epoch   500 | train_acc 0.3769 | best_train 0.3778 | 1.31s | cum 668.1s
epoch   510 | train_acc 0.3820 | best_train 0.3820 | 1.32s | cum 681.3s
epoch   520 | train_acc 0.3821 | best_train 0.3838 | 1.32s | cum 694.4s
epoch   530 | train_acc 0.3885 | best_train 0.3889 | 1.32s | cum 707.6s
epoch   540 | train_acc 0.3941 | best_train 0.3941 | 1.32s | cum 720.8s
epoch   550 | train_acc 0.4022 | best_train 0.4022 | 1.32s | cum 734.0s
epoch   560 | train_acc 0.4075 | best_train 0.4075 | 1.32s | cum 747.1s
epoch   570 | train_acc 0.4161 | best_train 0.4162 | 1.32s | cum 760.3s
epoch   580 | train_acc 0.4255 | best_train 0.4255 | 1.31s | cum 773.5s
epoch   590 | train_acc 0.4326 | best_train 0.4326 | 1.32s | cum 786.7s
epoch   600 | train_acc 0.4431 | best_train 0.4431 | 1.32s | cum 799.9s
epoch   610 | train_acc 0.4521 | best_train 0.4521 | 1.32s | cum 813.2s
epoch   620 | train_acc 0.4632 | best_train 0.4632 | 1.31s | cum 826.6s
epoch   630 | train_acc 0.4769 | best_train 0.4769 | 1.32s | cum 839.8s
epoch   640 | train_acc 0.4910 | best_train 0.4910 | 1.32s | cum 853.0s
epoch   650 | train_acc 0.5170 | best_train 0.5170 | 1.32s | cum 866.1s
epoch   660 | train_acc 0.5419 | best_train 0.5422 | 1.32s | cum 879.3s
epoch   670 | train_acc 0.5668 | best_train 0.5668 | 1.31s | cum 892.5s
epoch   680 | train_acc 0.5886 | best_train 0.5886 | 1.32s | cum 905.7s
epoch   690 | train_acc 0.6046 | best_train 0.6046 | 1.32s | cum 918.9s
epoch   700 | train_acc 0.6178 | best_train 0.6178 | 1.31s | cum 932.0s
epoch   710 | train_acc 0.6349 | best_train 0.6349 | 1.32s | cum 945.2s
epoch   720 | train_acc 0.6464 | best_train 0.6464 | 1.32s | cum 958.4s
epoch   730 | train_acc 0.6589 | best_train 0.6589 | 1.33s | cum 971.6s
epoch   740 | train_acc 0.6694 | best_train 0.6697 | 1.31s | cum 984.8s
epoch   750 | train_acc 0.6769 | best_train 0.6795 | 1.32s | cum 998.0s
epoch   760 | train_acc 0.6894 | best_train 0.6894 | 1.32s | cum 1011.1s
epoch   770 | train_acc 0.6963 | best_train 0.6975 | 1.32s | cum 1024.4s
epoch   780 | train_acc 0.7020 | best_train 0.7020 | 1.32s | cum 1037.5s
epoch   790 | train_acc 0.7095 | best_train 0.7095 | 1.32s | cum 1050.7s
epoch   800 | train_acc 0.7136 | best_train 0.7139 | 1.32s | cum 1063.9s
epoch   810 | train_acc 0.7207 | best_train 0.7211 | 1.31s | cum 1077.1s
epoch   820 | train_acc 0.7276 | best_train 0.7287 | 1.32s | cum 1090.3s
epoch   830 | train_acc 0.7332 | best_train 0.7332 | 1.32s | cum 1103.4s
epoch   840 | train_acc 0.7388 | best_train 0.7388 | 1.31s | cum 1116.6s
epoch   850 | train_acc 0.7429 | best_train 0.7429 | 1.32s | cum 1130.1s
epoch   860 | train_acc 0.7483 | best_train 0.7483 | 1.31s | cum 1143.3s
epoch   870 | train_acc 0.7498 | best_train 0.7527 | 1.32s | cum 1156.4s
epoch   880 | train_acc 0.7598 | best_train 0.7598 | 1.32s | cum 1169.6s
epoch   890 | train_acc 0.7610 | best_train 0.7610 | 1.33s | cum 1182.8s
epoch   900 | train_acc 0.7672 | best_train 0.7672 | 1.33s | cum 1196.0s
epoch   910 | train_acc 0.7699 | best_train 0.7703 | 1.32s | cum 1209.2s
epoch   920 | train_acc 0.7729 | best_train 0.7737 | 1.32s | cum 1222.3s
epoch   930 | train_acc 0.7773 | best_train 0.7773 | 1.32s | cum 1235.6s
epoch   940 | train_acc 0.7791 | best_train 0.7791 | 1.32s | cum 1248.8s
epoch   950 | train_acc 0.7815 | best_train 0.7815 | 1.31s | cum 1262.0s
epoch   960 | train_acc 0.7827 | best_train 0.7850 | 1.32s | cum 1275.2s
epoch   970 | train_acc 0.7852 | best_train 0.7861 | 1.32s | cum 1288.4s
epoch   980 | train_acc 0.7871 | best_train 0.7889 | 1.32s | cum 1301.6s
epoch   990 | train_acc 0.7895 | best_train 0.7916 | 1.32s | cum 1314.7s
epoch  1000 | train_acc 0.7898 | best_train 0.7919 | val_acc 0.8775 | best_val 0.8775 | 1.45s | cum 1328.0s
epoch  1010 | train_acc 0.7943 | best_train 0.7949 | 1.32s | cum 1341.1s
epoch  1020 | train_acc 0.7963 | best_train 0.7963 | 1.32s | cum 1354.3s
epoch  1030 | train_acc 0.7977 | best_train 0.8002 | 1.32s | cum 1367.5s
epoch  1040 | train_acc 0.8017 | best_train 0.8017 | 1.32s | cum 1380.6s
epoch  1050 | train_acc 0.7997 | best_train 0.8029 | 1.31s | cum 1393.9s
epoch  1060 | train_acc 0.8062 | best_train 0.8062 | 1.32s | cum 1407.1s
epoch  1070 | train_acc 0.8066 | best_train 0.8066 | 1.32s | cum 1420.3s
epoch  1080 | train_acc 0.8080 | best_train 0.8080 | 1.33s | cum 1433.4s
epoch  1090 | train_acc 0.8076 | best_train 0.8108 | 1.32s | cum 1446.6s
epoch  1100 | train_acc 0.8087 | best_train 0.8108 | 1.32s | cum 1459.8s
epoch  1110 | train_acc 0.8089 | best_train 0.8108 | 1.31s | cum 1473.0s
epoch  1120 | train_acc 0.8095 | best_train 0.8109 | 1.32s | cum 1486.2s
epoch  1130 | train_acc 0.8122 | best_train 0.8142 | 1.32s | cum 1499.4s
epoch  1140 | train_acc 0.8132 | best_train 0.8142 | 1.31s | cum 1512.5s
epoch  1150 | train_acc 0.8144 | best_train 0.8156 | 1.32s | cum 1525.7s
epoch  1160 | train_acc 0.8159 | best_train 0.8163 | 1.31s | cum 1538.9s
epoch  1170 | train_acc 0.8150 | best_train 0.8177 | 1.32s | cum 1552.4s
epoch  1180 | train_acc 0.8171 | best_train 0.8177 | 1.31s | cum 1565.5s
epoch  1190 | train_acc 0.8171 | best_train 0.8182 | 1.31s | cum 1578.7s
epoch  1200 | train_acc 0.8195 | best_train 0.8195 | 1.32s | cum 1591.9s
epoch  1210 | train_acc 0.8192 | best_train 0.8210 | 1.32s | cum 1605.1s
epoch  1220 | train_acc 0.8191 | best_train 0.8224 | 1.32s | cum 1618.2s
epoch  1230 | train_acc 0.8252 | best_train 0.8252 | 1.31s | cum 1631.4s
epoch  1240 | train_acc 0.8235 | best_train 0.8252 | 1.33s | cum 1644.6s
epoch  1250 | train_acc 0.8240 | best_train 0.8253 | 1.31s | cum 1657.8s
epoch  1260 | train_acc 0.8251 | best_train 0.8267 | 1.32s | cum 1671.0s
epoch  1270 | train_acc 0.8259 | best_train 0.8273 | 1.32s | cum 1684.1s
epoch  1280 | train_acc 0.8261 | best_train 0.8277 | 1.32s | cum 1697.4s
epoch  1290 | train_acc 0.8273 | best_train 0.8277 | 1.32s | cum 1710.6s
epoch  1300 | train_acc 0.8289 | best_train 0.8289 | 1.31s | cum 1723.7s
epoch  1310 | train_acc 0.8262 | best_train 0.8298 | 1.32s | cum 1736.9s
epoch  1320 | train_acc 0.8291 | best_train 0.8308 | 1.32s | cum 1750.1s
epoch  1330 | train_acc 0.8302 | best_train 0.8308 | 1.31s | cum 1763.3s
epoch  1340 | train_acc 0.8301 | best_train 0.8308 | 1.32s | cum 1776.5s
epoch  1350 | train_acc 0.8287 | best_train 0.8330 | 1.31s | cum 1789.6s
epoch  1360 | train_acc 0.8321 | best_train 0.8330 | 1.32s | cum 1802.9s
epoch  1370 | train_acc 0.8330 | best_train 0.8330 | 1.31s | cum 1816.0s
epoch  1380 | train_acc 0.8324 | best_train 0.8343 | 1.33s | cum 1829.2s
epoch  1390 | train_acc 0.8310 | best_train 0.8343 | 1.32s | cum 1842.4s
epoch  1400 | train_acc 0.8308 | best_train 0.8343 | 1.32s | cum 1855.9s
epoch  1410 | train_acc 0.8350 | best_train 0.8350 | 1.31s | cum 1869.0s
epoch  1420 | train_acc 0.8356 | best_train 0.8356 | 1.31s | cum 1882.2s
epoch  1430 | train_acc 0.8380 | best_train 0.8380 | 1.32s | cum 1895.4s
epoch  1440 | train_acc 0.8363 | best_train 0.8380 | 1.31s | cum 1908.6s
epoch  1450 | train_acc 0.8356 | best_train 0.8380 | 1.32s | cum 1921.7s
epoch  1460 | train_acc 0.8357 | best_train 0.8382 | 1.32s | cum 1934.9s
