  [timing] sample=0.00s fwd=8.50s update=0.01s
  [timing] sample=0.00s fwd=1.22s update=0.00s
  [timing] sample=0.00s fwd=1.73s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.33s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.30s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.32s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
  [timing] sample=0.00s fwd=1.31s update=0.00s
