[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (cosine), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:33:06.677982     510 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: ===
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.912s/epoch
  epoch    50 | val 0.098 | best_train 0.102 | v_th [0.315/0.407/0.454] | tau 20.000 | 4s
  epoch   100 | val 0.098 | best_train 0.105 | v_th [0.362/0.421/0.692] | tau 20.000 | 6s
  epoch   150 | val 0.098 | best_train 0.106 | v_th [0.375/0.441/0.845] | tau 20.000 | 7s
  epoch   200 | val 0.098 | best_train 0.106 | v_th [0.350/0.517/0.923] | tau 20.000 | 9s
  epoch   250 | val 0.098 | best_train 0.106 | v_th [0.243/0.534/0.939] | tau 20.000 | 11s
  epoch   300 | val 0.179 | best_train 0.172 | v_th [0.161/0.447/0.937] | tau 20.000 | 12s
  epoch   350 | val 0.337 | best_train 0.262 | v_th [0.105/0.470/1.127] | tau 20.000 | 14s
  epoch   400 | val 0.368 | best_train 0.316 | v_th [0.108/0.528/1.226] | tau 20.000 | 15s
  epoch   450 | val 0.410 | best_train 0.345 | v_th [0.112/0.524/1.308] | tau 20.000 | 17s
  epoch   500 | val 0.466 | best_train 0.408 | v_th [0.141/0.450/1.564] | tau 20.000 | 18s
  epoch   550 | val 0.480 | best_train 0.428 | v_th [0.137/0.382/1.864] | tau 20.000 | 20s
  epoch   600 | val 0.506 | best_train 0.450 | v_th [0.152/0.337/2.205] | tau 20.000 | 21s
  epoch   650 | val 0.558 | best_train 0.484 | v_th [0.165/0.284/2.619] | tau 20.000 | 23s
  epoch   700 | val 0.539 | best_train 0.497 | v_th [0.177/0.239/2.835] | tau 20.000 | 24s
  epoch   750 | val 0.549 | best_train 0.507 | v_th [0.156/0.260/3.131] | tau 20.000 | 26s
  epoch   800 | val 0.551 | best_train 0.515 | v_th [0.184/0.256/3.155] | tau 20.000 | 27s
  epoch   850 | val 0.546 | best_train 0.528 | v_th [0.186/0.211/3.581] | tau 20.000 | 29s
  epoch   900 | val 0.545 | best_train 0.531 | v_th [0.170/0.236/3.639] | tau 20.000 | 30s
  epoch   950 | val 0.555 | best_train 0.539 | v_th [0.169/0.220/3.901] | tau 20.000 | 32s
  epoch  1000 | val 0.550 | best_train 0.539 | v_th [0.181/0.253/3.865] | tau 20.000 | 33s
  epoch  1050 | val 0.565 | best_train 0.541 | v_th [0.183/0.266/3.850] | tau 20.000 | 35s
  epoch  1100 | val 0.560 | best_train 0.548 | v_th [0.196/0.283/4.123] | tau 20.000 | 37s
  epoch  1150 | val 0.560 | best_train 0.550 | v_th [0.205/0.263/4.359] | tau 20.000 | 38s
  epoch  1200 | val 0.557 | best_train 0.553 | v_th [0.208/0.240/4.725] | tau 20.000 | 40s
