epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
0,0.101917,0.14900000393390656,0.149000,0.101917,5.082256393507123e-09,1.0,7.708,7.7
1,0.101317,,0.149000,0.101917,,,0.198,7.9
2,0.103567,,0.149000,0.103567,,,0.201,8.1
3,0.101983,,0.149000,0.103567,,,0.131,8.2
4,0.101733,,0.149000,0.103567,,,0.133,8.4
5,0.102467,,0.149000,0.103567,,,0.131,8.5
6,0.099950,,0.149000,0.103567,,,0.132,8.6
7,0.100183,,0.149000,0.103567,,,0.134,8.8
8,0.099600,,0.149000,0.103567,,,0.130,8.9
9,0.100517,,0.149000,0.103567,,,0.133,9.0
10,0.104183,,0.149000,0.104183,,,0.130,9.2
11,0.099367,,0.149000,0.104183,,,0.131,9.3
12,0.101583,,0.149000,0.104183,,,0.131,9.4
13,0.102183,,0.149000,0.104183,,,0.129,9.5
14,0.102033,,0.149000,0.104183,,,0.127,9.7
15,0.102233,,0.149000,0.104183,,,0.132,9.8
16,0.100533,,0.149000,0.104183,,,0.132,9.9
17,0.102333,,0.149000,0.104183,,,0.130,10.1
18,0.101650,,0.149000,0.104183,,,0.129,10.2
19,0.102883,,0.149000,0.104183,,,0.132,10.3
20,0.103683,,0.149000,0.104183,,,0.132,10.5
21,0.102683,,0.149000,0.104183,,,0.133,10.6
22,0.103100,,0.149000,0.104183,,,0.132,10.7
23,0.103283,,0.149000,0.104183,,,0.132,10.9
24,0.104083,,0.149000,0.104183,,,0.133,11.0
25,0.104183,,0.149000,0.104183,,,0.134,11.1
26,0.104450,,0.149000,0.104450,,,0.132,11.3
27,0.104000,,0.149000,0.104450,,,0.132,11.4
28,0.104200,,0.149000,0.104450,,,0.131,11.5
29,0.105483,,0.149000,0.105483,,,0.133,11.7
30,0.105867,,0.149000,0.105867,,,0.133,11.8
31,0.105517,,0.149000,0.105867,,,0.129,11.9
32,0.105017,,0.149000,0.105867,,,0.129,12.0
33,0.105167,,0.149000,0.105867,,,0.130,12.2
34,0.106500,,0.149000,0.106500,,,0.134,12.3
35,0.107817,,0.149000,0.107817,,,0.132,12.4
36,0.106700,,0.149000,0.107817,,,0.129,12.6
37,0.108517,,0.149000,0.108517,,,0.143,12.7
38,0.106517,,0.149000,0.108517,,,0.130,12.8
39,0.106850,,0.149000,0.108517,,,0.132,13.0
40,0.109667,,0.149000,0.109667,,,0.133,13.1
41,0.105717,,0.149000,0.109667,,,0.128,13.2
42,0.109233,,0.149000,0.109667,,,0.130,13.4
43,0.107550,,0.149000,0.109667,,,0.130,13.5
44,0.108417,,0.149000,0.109667,,,0.130,13.6
45,0.109733,,0.149000,0.109733,,,0.131,13.8
46,0.109283,,0.149000,0.109733,,,0.136,13.9
47,0.109283,,0.149000,0.109733,,,0.134,14.0
48,0.108617,,0.149000,0.109733,,,0.131,14.2
49,0.109217,,0.149000,0.109733,,,0.130,14.3
50,0.111700,,0.149000,0.111700,,,0.130,14.4
51,0.110033,,0.149000,0.111700,,,0.132,14.6
52,0.110900,,0.149000,0.111700,,,0.130,14.7
53,0.112633,,0.149000,0.112633,,,0.131,14.8
54,0.112283,,0.149000,0.112633,,,0.133,14.9
55,0.111367,,0.149000,0.112633,,,0.133,15.1
