epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
0,0.101983,0.14600001275539398,0.146000,0.101983,0.0025375420227646828,0.9985803365707397,7.637,7.6
1,0.101650,,0.146000,0.101983,,,0.206,7.8
2,0.103117,,0.146000,0.103117,,,0.144,8.0
3,0.101750,,0.146000,0.103117,,,0.148,8.1
4,0.101750,,0.146000,0.103117,,,0.146,8.3
5,0.102317,,0.146000,0.103117,,,0.137,8.4
6,0.099667,,0.146000,0.103117,,,0.133,8.6
7,0.100250,,0.146000,0.103117,,,0.135,8.7
8,0.099833,,0.146000,0.103117,,,0.144,8.8
9,0.100550,,0.146000,0.103117,,,0.141,9.0
10,0.104317,,0.146000,0.104317,,,0.133,9.1
11,0.099033,,0.146000,0.104317,,,0.129,9.2
12,0.101483,,0.146000,0.104317,,,0.137,9.4
13,0.102450,,0.146000,0.104317,,,0.131,9.5
14,0.101950,,0.146000,0.104317,,,0.133,9.6
15,0.102133,,0.146000,0.104317,,,0.134,9.8
16,0.100400,,0.146000,0.104317,,,0.133,9.9
17,0.101933,,0.146000,0.104317,,,0.131,10.0
18,0.101900,,0.146000,0.104317,,,0.201,10.2
19,0.102450,,0.146000,0.104317,,,0.131,10.4
20,0.103767,,0.146000,0.104317,,,0.130,10.5
21,0.102633,,0.146000,0.104317,,,0.132,10.6
22,0.102967,,0.146000,0.104317,,,0.131,10.8
23,0.103400,,0.146000,0.104317,,,0.130,10.9
24,0.104383,,0.146000,0.104383,,,0.132,11.0
25,0.104600,,0.146000,0.104600,,,0.133,11.2
26,0.104450,,0.146000,0.104600,,,0.131,11.3
27,0.104250,,0.146000,0.104600,,,0.131,11.4
28,0.104400,,0.146000,0.104600,,,0.129,11.5
29,0.105783,,0.146000,0.105783,,,0.132,11.7
30,0.106000,,0.146000,0.106000,,,0.133,11.8
31,0.105683,,0.146000,0.106000,,,0.133,11.9
32,0.105050,,0.146000,0.106000,,,0.133,12.1
33,0.105067,,0.146000,0.106000,,,0.133,12.2
34,0.106650,,0.146000,0.106650,,,0.136,12.3
35,0.107967,,0.146000,0.107967,,,0.132,12.5
36,0.106800,,0.146000,0.107967,,,0.129,12.6
37,0.108200,,0.146000,0.108200,,,0.133,12.7
38,0.106700,,0.146000,0.108200,,,0.131,12.9
39,0.107317,,0.146000,0.108200,,,0.132,13.0
40,0.110000,,0.146000,0.110000,,,0.130,13.1
41,0.105767,,0.146000,0.110000,,,0.131,13.3
42,0.109317,,0.146000,0.110000,,,0.131,13.4
43,0.107767,,0.146000,0.110000,,,0.133,13.5
44,0.108833,,0.146000,0.110000,,,0.130,13.7
45,0.109817,,0.146000,0.110000,,,0.133,13.8
46,0.109367,,0.146000,0.110000,,,0.133,13.9
47,0.109233,,0.146000,0.110000,,,0.131,14.1
48,0.108833,,0.146000,0.110000,,,0.130,14.2
49,0.109133,,0.146000,0.110000,,,0.132,14.3
50,0.111917,,0.146000,0.111917,,,0.130,14.4
51,0.109900,,0.146000,0.111917,,,0.131,14.6
52,0.111000,,0.146000,0.111917,,,0.132,14.7
53,0.112850,,0.146000,0.112850,,,0.131,14.8
54,0.112533,,0.146000,0.112850,,,0.132,15.0
55,0.111433,,0.146000,0.112850,,,0.132,15.1
56,0.111533,,0.146000,0.112850,,,0.131,15.2
57,0.112400,,0.146000,0.112850,,,0.130,15.4
58,0.111350,,0.146000,0.112850,,,0.133,15.5
59,0.111517,,0.146000,0.112850,,,0.130,15.6
60,0.111017,,0.146000,0.112850,,,0.132,15.8
61,0.112683,,0.146000,0.112850,,,0.134,15.9
62,0.113217,,0.146000,0.113217,,,0.130,16.0
63,0.111633,,0.146000,0.113217,,,0.133,16.2
64,0.111817,,0.146000,0.113217,,,0.209,16.4
65,0.112600,,0.146000,0.113217,,,0.133,16.5
66,0.112033,,0.146000,0.113217,,,0.134,16.6
67,0.112617,,0.146000,0.113217,,,0.134,16.8
68,0.112850,,0.146000,0.113217,,,0.133,16.9
69,0.111867,,0.146000,0.113217,,,0.133,17.0
70,0.112650,,0.146000,0.113217,,,0.133,17.2
71,0.113117,,0.146000,0.113217,,,0.131,17.3
72,0.112617,,0.146000,0.113217,,,0.133,17.4
73,0.112583,,0.146000,0.113217,,,0.132,17.6
74,0.112383,,0.146000,0.113217,,,0.133,17.7
75,0.113333,,0.146000,0.113333,,,0.133,17.8
76,0.112100,,0.146000,0.113333,,,0.131,18.0
77,0.113400,,0.146000,0.113400,,,0.132,18.1
78,0.113033,,0.146000,0.113400,,,0.205,18.3
79,0.113417,,0.146000,0.113417,,,0.132,18.4
80,0.114283,,0.146000,0.114283,,,0.134,18.6
81,0.113533,,0.146000,0.114283,,,0.133,18.7
82,0.112067,,0.146000,0.114283,,,0.133,18.8
83,0.111950,,0.146000,0.114283,,,0.131,19.0
84,0.111750,,0.146000,0.114283,,,0.132,19.1
85,0.112333,,0.146000,0.114283,,,0.132,19.2
86,0.113267,,0.146000,0.114283,,,0.133,19.4
87,0.113250,,0.146000,0.114283,,,0.133,19.5
88,0.113433,,0.146000,0.114283,,,0.133,19.6
89,0.112300,,0.146000,0.114283,,,0.132,19.7
90,0.113067,,0.146000,0.114283,,,0.136,19.9
91,0.112600,,0.146000,0.114283,,,0.136,20.0
92,0.112083,,0.146000,0.114283,,,0.133,20.2
93,0.112400,,0.146000,0.114283,,,0.137,20.3
94,0.113033,,0.146000,0.114283,,,0.134,20.4
95,0.112900,,0.146000,0.114283,,,0.134,20.6
96,0.113500,,0.146000,0.114283,,,0.133,20.7
97,0.113000,,0.146000,0.114283,,,0.133,20.8
98,0.112033,,0.146000,0.114283,,,0.131,21.0
99,0.113233,,0.146000,0.114283,,,0.134,21.1
100,0.112450,0.11150000244379044,0.146000,0.114283,0.0036853512283414602,0.9969942569732666,0.241,21.3
101,0.112617,,0.146000,0.114283,,,0.132,21.5
102,0.112617,,0.146000,0.114283,,,0.132,21.6
103,0.113133,,0.146000,0.114283,,,0.133,21.7
104,0.113383,,0.146000,0.114283,,,0.134,21.9
