epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
0,0.074700,0.08500000089406967,0.085000,0.074700,0.0624999925494194,0.0,8.399,8.4
1,0.074033,,0.085000,0.074700,,,0.218,8.6
2,0.072983,,0.085000,0.074700,,,0.159,8.8
3,0.072950,,0.085000,0.074700,,,0.148,8.9
4,0.074467,,0.085000,0.074700,,,0.144,9.1
5,0.074683,,0.085000,0.074700,,,0.141,9.2
6,0.073400,,0.085000,0.074700,,,0.138,9.3
7,0.074167,,0.085000,0.074700,,,0.137,9.5
8,0.074267,,0.085000,0.074700,,,0.138,9.6
9,0.074317,,0.085000,0.074700,,,0.140,9.8
10,0.075267,,0.085000,0.075267,,,0.202,10.0
11,0.072733,,0.085000,0.075267,,,0.136,10.1
12,0.074250,,0.085000,0.075267,,,0.136,10.2
13,0.075883,,0.085000,0.075883,,,0.137,10.4
14,0.074900,,0.085000,0.075883,,,0.130,10.5
15,0.077733,,0.085000,0.077733,,,0.139,10.6
16,0.076233,,0.085000,0.077733,,,0.136,10.8
17,0.075150,,0.085000,0.077733,,,0.134,10.9
18,0.077000,,0.085000,0.077733,,,0.135,11.0
19,0.077317,,0.085000,0.077733,,,0.136,11.2
20,0.077550,,0.085000,0.077733,,,0.136,11.3
21,0.078083,,0.085000,0.078083,,,0.139,11.5
22,0.078767,,0.085000,0.078767,,,0.136,11.6
23,0.077350,,0.085000,0.078767,,,0.137,11.7
24,0.079167,,0.085000,0.079167,,,0.202,11.9
25,0.080900,,0.085000,0.080900,,,0.138,12.1
26,0.079350,,0.085000,0.080900,,,0.136,12.2
27,0.080000,,0.085000,0.080900,,,0.134,12.3
28,0.080283,,0.085000,0.080900,,,0.136,12.5
29,0.080167,,0.085000,0.080900,,,0.135,12.6
30,0.080917,,0.085000,0.080917,,,0.137,12.8
31,0.083300,,0.085000,0.083300,,,0.134,12.9
32,0.081933,,0.085000,0.083300,,,0.136,13.0
33,0.084317,,0.085000,0.084317,,,0.136,13.2
