epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
0,0.074667,0.08500000089406967,0.085000,0.074667,0.0624999925494194,0.0,8.643,8.6
1,0.074250,,0.085000,0.074667,,,0.209,8.9
2,0.072767,,0.085000,0.074667,,,0.143,9.0
3,0.073400,,0.085000,0.074667,,,0.142,9.1
4,0.074317,,0.085000,0.074667,,,0.141,9.3
5,0.074800,,0.085000,0.074800,,,0.139,9.4
6,0.073650,,0.085000,0.074800,,,0.157,9.6
7,0.074117,,0.085000,0.074800,,,0.141,9.7
8,0.074500,,0.085000,0.074800,,,0.141,9.9
9,0.073533,,0.085000,0.074800,,,0.148,10.0
10,0.075667,,0.085000,0.075667,,,0.146,10.1
11,0.073250,,0.085000,0.075667,,,0.151,10.3
12,0.075050,,0.085000,0.075667,,,0.136,10.4
13,0.076467,,0.085000,0.076467,,,0.144,10.6
14,0.075483,,0.085000,0.076467,,,0.207,10.8
15,0.076983,,0.085000,0.076983,,,0.140,10.9
16,0.076800,,0.085000,0.076983,,,0.140,11.1
17,0.075633,,0.085000,0.076983,,,0.141,11.2
18,0.077267,,0.085000,0.077267,,,0.137,11.3
19,0.077200,,0.085000,0.077267,,,0.140,11.5
20,0.077483,,0.085000,0.077483,,,0.141,11.6
21,0.078350,,0.085000,0.078350,,,0.142,11.8
22,0.079183,,0.085000,0.079183,,,0.144,11.9
23,0.078233,,0.085000,0.079183,,,0.142,12.1
24,0.079500,,0.085000,0.079500,,,0.141,12.2
25,0.080967,,0.085000,0.080967,,,0.142,12.3
26,0.079517,,0.085000,0.080967,,,0.140,12.5
27,0.081300,,0.085000,0.081300,,,0.141,12.6
28,0.081167,,0.085000,0.081300,,,0.208,12.8
29,0.080517,,0.085000,0.081300,,,0.142,13.0
30,0.082217,,0.085000,0.082217,,,0.139,13.1
31,0.083683,,0.085000,0.083683,,,0.143,13.3
32,0.082333,,0.085000,0.083683,,,0.141,13.4
33,0.084917,,0.085000,0.084917,,,0.141,13.5
34,0.085233,,0.085000,0.085233,,,0.143,13.7
35,0.084633,,0.085000,0.085233,,,0.139,13.8
36,0.086833,,0.085000,0.086833,,,0.149,14.0
37,0.086650,,0.085000,0.086833,,,0.151,14.1
38,0.086600,,0.085000,0.086833,,,0.143,14.3
39,0.087183,,0.085000,0.087183,,,0.147,14.4
40,0.084933,,0.085000,0.087183,,,0.162,14.6
41,0.088567,,0.085000,0.088567,,,0.150,14.7
42,0.089683,,0.085000,0.089683,,,0.213,14.9
43,0.090550,,0.085000,0.090550,,,0.141,15.1
44,0.092233,,0.085000,0.092233,,,0.142,15.2
45,0.090000,,0.085000,0.092233,,,0.138,15.4
46,0.090950,,0.085000,0.092233,,,0.142,15.5
47,0.091100,,0.085000,0.092233,,,0.149,15.6
48,0.091800,,0.085000,0.092233,,,0.150,15.8
49,0.091717,,0.085000,0.092233,,,0.148,15.9
50,0.094067,,0.085000,0.094067,,,0.149,16.1
51,0.091867,,0.085000,0.094067,,,0.150,16.2
52,0.092750,,0.085000,0.094067,,,0.152,16.4
53,0.094033,,0.085000,0.094067,,,0.143,16.5
54,0.094600,,0.085000,0.094600,,,0.140,16.7
55,0.093233,,0.085000,0.094600,,,0.143,16.8
56,0.093417,,0.085000,0.094600,,,0.197,17.0
57,0.094050,,0.085000,0.094600,,,0.142,17.2
58,0.094267,,0.085000,0.094600,,,0.139,17.3
59,0.093917,,0.085000,0.094600,,,0.141,17.4
60,0.093683,,0.085000,0.094600,,,0.141,17.6
61,0.093900,,0.085000,0.094600,,,0.141,17.7
62,0.094933,,0.085000,0.094933,,,0.143,17.9
63,0.094633,,0.085000,0.094933,,,0.140,18.0
64,0.094667,,0.085000,0.094933,,,0.140,18.1
65,0.094983,,0.085000,0.094983,,,0.142,18.3
66,0.095117,,0.085000,0.095117,,,0.142,18.4
67,0.094967,,0.085000,0.095117,,,0.143,18.6
68,0.094133,,0.085000,0.095117,,,0.139,18.7
69,0.095517,,0.085000,0.095517,,,0.142,18.9
70,0.096733,,0.085000,0.096733,,,0.141,19.0
71,0.095817,,0.085000,0.096733,,,0.142,19.1
72,0.094550,,0.085000,0.096733,,,0.137,19.3
73,0.095100,,0.085000,0.096733,,,0.141,19.4
74,0.095367,,0.085000,0.096733,,,0.141,19.6
75,0.095917,,0.085000,0.096733,,,0.139,19.7
76,0.096617,,0.085000,0.096733,,,0.143,19.8
77,0.095967,,0.085000,0.096733,,,0.138,20.0
78,0.097717,,0.085000,0.097717,,,0.141,20.1
79,0.096117,,0.085000,0.097717,,,0.140,20.3
80,0.097167,,0.085000,0.097717,,,0.142,20.4
81,0.096033,,0.085000,0.097717,,,0.140,20.5
82,0.097433,,0.085000,0.097717,,,0.151,20.7
83,0.095550,,0.085000,0.097717,,,0.156,20.8
84,0.096400,,0.085000,0.097717,,,0.166,21.0
85,0.095300,,0.085000,0.097717,,,0.153,21.2
86,0.096317,,0.085000,0.097717,,,0.143,21.3
87,0.097683,,0.085000,0.097717,,,0.142,21.4
88,0.096800,,0.085000,0.097717,,,0.147,21.6
89,0.095900,,0.085000,0.097717,,,0.140,21.7
90,0.097083,,0.085000,0.097717,,,0.155,21.9
91,0.097733,,0.085000,0.097733,,,0.150,22.0
92,0.096733,,0.085000,0.097733,,,0.150,22.2
93,0.096800,,0.085000,0.097733,,,0.151,22.3
94,0.095233,,0.085000,0.097733,,,0.150,22.5
95,0.097683,,0.085000,0.097733,,,0.145,22.6
96,0.097633,,0.085000,0.097733,,,0.145,22.8
97,0.095683,,0.085000,0.097733,,,0.149,22.9
98,0.096350,,0.085000,0.097733,,,0.214,23.1
99,0.098783,,0.085000,0.098783,,,0.156,23.3
100,0.095683,0.0860000029206276,0.086000,0.098783,0.08202344179153442,0.28393077850341797,0.475,23.8
101,0.097667,,0.086000,0.098783,,,0.137,23.9
102,0.097333,,0.086000,0.098783,,,0.142,24.1
103,0.096567,,0.086000,0.098783,,,0.138,24.2
104,0.096950,,0.086000,0.098783,,,0.139,24.3
105,0.097467,,0.086000,0.098783,,,0.140,24.5
106,0.097667,,0.086000,0.098783,,,0.140,24.6
107,0.097517,,0.086000,0.098783,,,0.137,24.7
108,0.097433,,0.086000,0.098783,,,0.138,24.9
109,0.097017,,0.086000,0.098783,,,0.137,25.0
110,0.097117,,0.086000,0.098783,,,0.184,25.2
111,0.096333,,0.086000,0.098783,,,0.138,25.3
112,0.097833,,0.086000,0.098783,,,0.136,25.5
113,0.097583,,0.086000,0.098783,,,0.136,25.6
114,0.098267,,0.086000,0.098783,,,0.137,25.8
115,0.096500,,0.086000,0.098783,,,0.135,25.9
116,0.096283,,0.086000,0.098783,,,0.137,26.0
117,0.097000,,0.086000,0.098783,,,0.135,26.2
118,0.096933,,0.086000,0.098783,,,0.136,26.3
119,0.097133,,0.086000,0.098783,,,0.135,26.4
120,0.096500,,0.086000,0.098783,,,0.136,26.6
121,0.096883,,0.086000,0.098783,,,0.136,26.7
122,0.096033,,0.086000,0.098783,,,0.138,26.8
123,0.097117,,0.086000,0.098783,,,0.136,27.0
124,0.097433,,0.086000,0.098783,,,0.138,27.1
125,0.095950,,0.086000,0.098783,,,0.203,27.3
126,0.097250,,0.086000,0.098783,,,0.138,27.5
127,0.096283,,0.086000,0.098783,,,0.135,27.6
128,0.096267,,0.086000,0.098783,,,0.136,27.7
129,0.096533,,0.086000,0.098783,,,0.137,27.9
130,0.096200,,0.086000,0.098783,,,0.136,28.0
131,0.096633,,0.086000,0.098783,,,0.140,28.1
132,0.096733,,0.086000,0.098783,,,0.135,28.3
133,0.097267,,0.086000,0.098783,,,0.138,28.4
134,0.096600,,0.086000,0.098783,,,0.138,28.6
135,0.096833,,0.086000,0.098783,,,0.138,28.7
136,0.097683,,0.086000,0.098783,,,0.136,28.8
137,0.096933,,0.086000,0.098783,,,0.137,29.0
138,0.097967,,0.086000,0.098783,,,0.139,29.1
139,0.096850,,0.086000,0.098783,,,0.202,29.3
140,0.097217,,0.086000,0.098783,,,0.138,29.4
141,0.096283,,0.086000,0.098783,,,0.137,29.6
142,0.097167,,0.086000,0.098783,,,0.138,29.7
143,0.097283,,0.086000,0.098783,,,0.139,29.9
144,0.095900,,0.086000,0.098783,,,0.138,30.0
145,0.097050,,0.086000,0.098783,,,0.138,30.1
146,0.097450,,0.086000,0.098783,,,0.139,30.3
147,0.096417,,0.086000,0.098783,,,0.138,30.4
148,0.096833,,0.086000,0.098783,,,0.137,30.5
149,0.096467,,0.086000,0.098783,,,0.137,30.7
150,0.095317,,0.086000,0.098783,,,0.153,30.8
151,0.096917,,0.086000,0.098783,,,0.138,31.0
152,0.097650,,0.086000,0.098783,,,0.137,31.1
153,0.097850,,0.086000,0.098783,,,0.138,31.2
154,0.097067,,0.086000,0.098783,,,0.201,31.4
155,0.097483,,0.086000,0.098783,,,0.137,31.6
156,0.098050,,0.086000,0.098783,,,0.136,31.7
157,0.097567,,0.086000,0.098783,,,0.136,31.9
158,0.097000,,0.086000,0.098783,,,0.137,32.0
159,0.097950,,0.086000,0.098783,,,0.136,32.1
160,0.098283,,0.086000,0.098783,,,0.136,32.3
161,0.097700,,0.086000,0.098783,,,0.137,32.4
162,0.097567,,0.086000,0.098783,,,0.137,32.5
163,0.098083,,0.086000,0.098783,,,0.137,32.7
164,0.097850,,0.086000,0.098783,,,0.136,32.8
165,0.098333,,0.086000,0.098783,,,0.137,33.0
166,0.098233,,0.086000,0.098783,,,0.136,33.1
167,0.098033,,0.086000,0.098783,,,0.138,33.2
168,0.096567,,0.086000,0.098783,,,0.137,33.4
169,0.097817,,0.086000,0.098783,,,0.202,33.6
170,0.097850,,0.086000,0.098783,,,0.138,33.7
171,0.096550,,0.086000,0.098783,,,0.138,33.8
172,0.096850,,0.086000,0.098783,,,0.138,34.0
173,0.097467,,0.086000,0.098783,,,0.137,34.1
174,0.097383,,0.086000,0.098783,,,0.135,34.2
175,0.098167,,0.086000,0.098783,,,0.138,34.4
176,0.098483,,0.086000,0.098783,,,0.136,34.5
177,0.097383,,0.086000,0.098783,,,0.138,34.7
178,0.098150,,0.086000,0.098783,,,0.136,34.8
179,0.096833,,0.086000,0.098783,,,0.136,34.9
180,0.097467,,0.086000,0.098783,,,0.137,35.1
181,0.096600,,0.086000,0.098783,,,0.137,35.2
182,0.098333,,0.086000,0.098783,,,0.135,35.3
183,0.097083,,0.086000,0.098783,,,0.136,35.5
184,0.097567,,0.086000,0.098783,,,0.199,35.7
185,0.096967,,0.086000,0.098783,,,0.138,35.8
186,0.098650,,0.086000,0.098783,,,0.136,35.9
187,0.097850,,0.086000,0.098783,,,0.137,36.1
188,0.098467,,0.086000,0.098783,,,0.136,36.2
189,0.098117,,0.086000,0.098783,,,0.136,36.4
190,0.095750,,0.086000,0.098783,,,0.137,36.5
191,0.098217,,0.086000,0.098783,,,0.139,36.6
192,0.099117,,0.086000,0.099117,,,0.136,36.8
193,0.098567,,0.086000,0.099117,,,0.137,36.9
194,0.097300,,0.086000,0.099117,,,0.136,37.0
195,0.096367,,0.086000,0.099117,,,0.137,37.2
196,0.097250,,0.086000,0.099117,,,0.136,37.3
197,0.099167,,0.086000,0.099167,,,0.136,37.5
198,0.097317,,0.086000,0.099167,,,0.137,37.6
199,0.096067,,0.086000,0.099167,,,0.203,37.8
200,0.097583,0.0860000029206276,0.086000,0.099167,0.08185378462076187,0.2415289431810379,0.447,38.2
201,0.099200,,0.086000,0.099200,,,0.134,38.4
202,0.099367,,0.086000,0.099367,,,0.132,38.5
203,0.098967,,0.086000,0.099367,,,0.137,38.6
204,0.096983,,0.086000,0.099367,,,0.136,38.8
205,0.099450,,0.086000,0.099450,,,0.137,38.9
206,0.096600,,0.086000,0.099450,,,0.138,39.1
207,0.098600,,0.086000,0.099450,,,0.136,39.2
208,0.097517,,0.086000,0.099450,,,0.137,39.3
209,0.098367,,0.086000,0.099450,,,0.136,39.5
210,0.099383,,0.086000,0.099450,,,0.137,39.6
211,0.098517,,0.086000,0.099450,,,0.137,39.7
212,0.098883,,0.086000,0.099450,,,0.200,39.9
213,0.100217,,0.086000,0.100217,,,0.139,40.1
214,0.098133,,0.086000,0.100217,,,0.138,40.2
215,0.098500,,0.086000,0.100217,,,0.135,40.4
216,0.097900,,0.086000,0.100217,,,0.135,40.5
217,0.098967,,0.086000,0.100217,,,0.137,40.6
218,0.097033,,0.086000,0.100217,,,0.137,40.8
219,0.099217,,0.086000,0.100217,,,0.136,40.9
220,0.099750,,0.086000,0.100217,,,0.138,41.0
221,0.098100,,0.086000,0.100217,,,0.135,41.2
222,0.099367,,0.086000,0.100217,,,0.137,41.3
223,0.099200,,0.086000,0.100217,,,0.145,41.5
224,0.099700,,0.086000,0.100217,,,0.135,41.6
225,0.098733,,0.086000,0.100217,,,0.136,41.7
