epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.084217,0.09799999743700027,0.098000,0.084217,5.677,5.7
1,0.084350,,0.098000,0.084350,0.253,5.9
2,0.085500,,0.098000,0.085500,0.252,6.2
3,0.084533,,0.098000,0.085500,0.262,6.4
4,0.083167,,0.098000,0.085500,0.269,6.7
5,0.085667,,0.098000,0.085667,0.262,7.0
6,0.083650,,0.098000,0.085667,0.257,7.2
7,0.086400,,0.098000,0.086400,0.326,7.6
8,0.086883,,0.098000,0.086883,0.257,7.8
9,0.084700,,0.098000,0.086883,0.257,8.1
10,0.087200,,0.098000,0.087200,0.253,8.3
11,0.086783,,0.098000,0.087200,0.256,8.6
12,0.085383,,0.098000,0.087200,0.254,8.8
13,0.087900,,0.098000,0.087900,0.256,9.1
14,0.087267,,0.098000,0.087900,0.256,9.3
15,0.087300,,0.098000,0.087900,0.290,9.6
16,0.089167,,0.098000,0.089167,0.245,9.9
17,0.087867,,0.098000,0.089167,0.255,10.1
18,0.088700,,0.098000,0.089167,0.256,10.4
19,0.089417,,0.098000,0.089417,0.262,10.7
20,0.089217,,0.098000,0.089417,0.258,10.9
21,0.089233,,0.098000,0.089417,0.254,11.2
22,0.091767,,0.098000,0.091767,0.255,11.4
23,0.091517,,0.098000,0.091767,0.310,11.7
24,0.091367,,0.098000,0.091767,0.255,12.0
25,0.091133,,0.098000,0.091767,0.257,12.2
26,0.092917,,0.098000,0.092917,0.252,12.5
27,0.094550,,0.098000,0.094550,0.257,12.8
28,0.096767,,0.098000,0.096767,0.257,13.0
29,0.096933,,0.098000,0.096933,0.254,13.3
30,0.097033,,0.098000,0.097033,0.255,13.5
31,0.099183,,0.098000,0.099183,0.308,13.8
32,0.097883,,0.098000,0.099183,0.253,14.1
33,0.098850,,0.098000,0.099183,0.254,14.3
34,0.099883,,0.098000,0.099883,0.255,14.6
35,0.101700,,0.098000,0.101700,0.256,14.8
36,0.102633,,0.098000,0.102633,0.253,15.1
37,0.101567,,0.098000,0.102633,0.266,15.4
38,0.104150,,0.098000,0.104150,0.255,15.6
