epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.085817,0.09799999743700027,0.098000,0.085817,5.750,5.7
1,0.086417,,0.098000,0.086417,0.206,6.0
2,0.085450,,0.098000,0.086417,0.187,6.1
3,0.085000,,0.098000,0.086417,0.184,6.3
4,0.084550,,0.098000,0.086417,0.183,6.5
5,0.084000,,0.098000,0.086417,0.186,6.7
6,0.082800,,0.098000,0.086417,0.249,6.9
7,0.087067,,0.098000,0.087067,0.185,7.1
8,0.085267,,0.098000,0.087067,0.184,7.3
9,0.084767,,0.098000,0.087067,0.186,7.5
10,0.084900,,0.098000,0.087067,0.184,7.7
11,0.086417,,0.098000,0.087067,0.184,7.9
12,0.085733,,0.098000,0.087067,0.187,8.1
13,0.088050,,0.098000,0.088050,0.183,8.2
14,0.087500,,0.098000,0.088050,0.186,8.4
15,0.088017,,0.098000,0.088050,0.186,8.6
16,0.088183,,0.098000,0.088183,0.186,8.8
17,0.089517,,0.098000,0.089517,0.253,9.0
18,0.089733,,0.098000,0.089733,0.188,9.2
19,0.089583,,0.098000,0.089733,0.184,9.4
20,0.090533,,0.098000,0.090533,0.187,9.6
21,0.089917,,0.098000,0.090533,0.186,9.8
22,0.094000,,0.098000,0.094000,0.184,10.0
23,0.092467,,0.098000,0.094000,0.184,10.2
24,0.093567,,0.098000,0.094000,0.182,10.3
25,0.093900,,0.098000,0.094000,0.183,10.5
26,0.096383,,0.098000,0.096383,0.185,10.7
27,0.097700,,0.098000,0.097700,0.218,10.9
28,0.099033,,0.098000,0.099033,0.185,11.1
29,0.102217,,0.098000,0.102217,0.183,11.3
30,0.104867,,0.098000,0.104867,0.184,11.5
31,0.103400,,0.098000,0.104867,0.183,11.7
32,0.104167,,0.098000,0.104867,0.183,11.8
33,0.104250,,0.098000,0.104867,0.187,12.0
34,0.105533,,0.098000,0.105533,0.183,12.2
35,0.108117,,0.098000,0.108117,0.185,12.4
36,0.105967,,0.098000,0.108117,0.186,12.6
37,0.109817,,0.098000,0.109817,0.187,12.8
38,0.109233,,0.098000,0.109817,0.252,13.0
39,0.109183,,0.098000,0.109817,0.184,13.2
40,0.109883,,0.098000,0.109883,0.185,13.4
41,0.111283,,0.098000,0.111283,0.187,13.6
42,0.110500,,0.098000,0.111283,0.186,13.8
43,0.111117,,0.098000,0.111283,0.186,14.0
44,0.112683,,0.098000,0.112683,0.183,14.1
45,0.113083,,0.098000,0.113083,0.184,14.3
46,0.113383,,0.098000,0.113383,0.186,14.5
47,0.110983,,0.098000,0.113383,0.185,14.7
48,0.114167,,0.098000,0.114167,0.186,14.9
49,0.114350,,0.098000,0.114350,0.250,15.1
50,0.113717,0.09939999878406525,0.099400,0.114350,0.247,15.4
51,0.115467,,0.099400,0.115467,0.139,15.5
52,0.116433,,0.099400,0.116433,0.187,15.7
53,0.116967,,0.099400,0.116967,0.185,15.9
54,0.116917,,0.099400,0.116967,0.185,16.1
55,0.116633,,0.099400,0.116967,0.186,16.3
56,0.116467,,0.099400,0.116967,0.183,16.4
57,0.117233,,0.099400,0.117233,0.185,16.6
58,0.118683,,0.099400,0.118683,0.185,16.8
59,0.119750,,0.099400,0.119750,0.183,17.0
60,0.120433,,0.099400,0.120433,0.239,17.2
61,0.121767,,0.099400,0.121767,0.184,17.4
62,0.119800,,0.099400,0.121767,0.185,17.6
63,0.122383,,0.099400,0.122383,0.185,17.8
64,0.121517,,0.099400,0.122383,0.185,18.0
65,0.122400,,0.099400,0.122400,0.187,18.2
66,0.124100,,0.099400,0.124100,0.185,18.3
67,0.122883,,0.099400,0.124100,0.186,18.5
68,0.123433,,0.099400,0.124100,0.187,18.7
69,0.122583,,0.099400,0.124100,0.186,18.9
70,0.122717,,0.099400,0.124100,0.186,19.1
71,0.124933,,0.099400,0.124933,0.269,19.4
72,0.122967,,0.099400,0.124933,0.186,19.5
73,0.124217,,0.099400,0.124933,0.183,19.7
74,0.124667,,0.099400,0.124933,0.186,19.9
75,0.124950,,0.099400,0.124950,0.184,20.1
76,0.126917,,0.099400,0.126917,0.183,20.3
77,0.126083,,0.099400,0.126917,0.184,20.5
78,0.126083,,0.099400,0.126917,0.184,20.6
79,0.126033,,0.099400,0.126917,0.188,20.8
80,0.126300,,0.099400,0.126917,0.184,21.0
81,0.127167,,0.099400,0.127167,0.185,21.2
82,0.127683,,0.099400,0.127683,0.254,21.5
83,0.127267,,0.099400,0.127683,0.184,21.6
84,0.126767,,0.099400,0.127683,0.184,21.8
85,0.127550,,0.099400,0.127683,0.184,22.0
86,0.127950,,0.099400,0.127950,0.185,22.2
87,0.128167,,0.099400,0.128167,0.186,22.4
88,0.126667,,0.099400,0.128167,0.188,22.6
89,0.130317,,0.099400,0.130317,0.186,22.8
90,0.129333,,0.099400,0.130317,0.186,22.9
91,0.128750,,0.099400,0.130317,0.187,23.1
92,0.130200,,0.099400,0.130317,0.185,23.3
93,0.129317,,0.099400,0.130317,0.229,23.5
94,0.129100,,0.099400,0.130317,0.187,23.7
95,0.129183,,0.099400,0.130317,0.186,23.9
96,0.129750,,0.099400,0.130317,0.186,24.1
97,0.130500,,0.099400,0.130500,0.184,24.3
98,0.130367,,0.099400,0.130500,0.185,24.5
99,0.130133,,0.099400,0.130500,0.186,24.7
100,0.130433,0.10080000013113022,0.100800,0.130500,0.245,24.9
101,0.133600,,0.100800,0.133600,0.137,25.0
102,0.133500,,0.100800,0.133600,0.185,25.2
103,0.131967,,0.100800,0.133600,0.187,25.4
104,0.133800,,0.100800,0.133800,0.250,25.7
105,0.134017,,0.100800,0.134017,0.186,25.8
106,0.135717,,0.100800,0.135717,0.187,26.0
107,0.136383,,0.100800,0.136383,0.184,26.2
108,0.135833,,0.100800,0.136383,0.186,26.4
109,0.135633,,0.100800,0.136383,0.187,26.6
110,0.139150,,0.100800,0.139150,0.184,26.8
111,0.138283,,0.100800,0.139150,0.187,27.0
112,0.138100,,0.100800,0.139150,0.182,27.1
113,0.139050,,0.100800,0.139150,0.185,27.3
114,0.139067,,0.100800,0.139150,0.185,27.5
115,0.139783,,0.100800,0.139783,0.256,27.8
116,0.141883,,0.100800,0.141883,0.186,28.0
117,0.140500,,0.100800,0.141883,0.184,28.1
118,0.142100,,0.100800,0.142100,0.186,28.3
119,0.142300,,0.100800,0.142300,0.187,28.5
