epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.084217,0.09800000488758087,0.098000,0.084217,5.807,5.8
1,0.084433,,0.098000,0.084433,4.508,10.3
2,0.085517,,0.098000,0.085517,0.124,10.4
3,0.084333,,0.098000,0.085517,0.114,10.6
4,0.083067,,0.098000,0.085517,0.113,10.7
5,0.086683,,0.098000,0.086683,0.111,10.8
6,0.083767,,0.098000,0.086683,0.113,10.9
7,0.086700,,0.098000,0.086700,0.113,11.0
8,0.086717,,0.098000,0.086717,0.115,11.1
9,0.084667,,0.098000,0.086717,0.112,11.2
10,0.087583,,0.098000,0.087583,0.112,11.3
11,0.086517,,0.098000,0.087583,0.113,11.5
12,0.085300,,0.098000,0.087583,0.114,11.6
13,0.087633,,0.098000,0.087633,0.112,11.7
14,0.086200,,0.098000,0.087633,0.112,11.8
15,0.086600,,0.098000,0.087633,0.112,11.9
16,0.089800,,0.098000,0.089800,0.111,12.0
17,0.088417,,0.098000,0.089800,0.111,12.1
18,0.089017,,0.098000,0.089800,0.111,12.2
19,0.088817,,0.098000,0.089800,0.113,12.4
20,0.088817,,0.098000,0.089800,0.115,12.5
21,0.090133,,0.098000,0.090133,0.130,12.6
22,0.093517,,0.098000,0.093517,0.112,12.7
23,0.090850,,0.098000,0.093517,0.112,12.8
24,0.090917,,0.098000,0.093517,0.109,12.9
25,0.091950,,0.098000,0.093517,0.115,13.0
26,0.093200,,0.098000,0.093517,0.131,13.2
27,0.094650,,0.098000,0.094650,0.114,13.3
28,0.095617,,0.098000,0.095617,0.112,13.4
29,0.095617,,0.098000,0.095617,0.110,13.5
30,0.096633,,0.098000,0.096633,0.115,13.6
31,0.098867,,0.098000,0.098867,0.133,13.8
32,0.098333,,0.098000,0.098867,0.114,13.9
33,0.100250,,0.098000,0.100250,0.114,14.0
34,0.100517,,0.098000,0.100517,0.112,14.1
35,0.100700,,0.098000,0.100700,0.113,14.2
36,0.101017,,0.098000,0.101017,0.112,14.3
37,0.103117,,0.098000,0.103117,0.115,14.4
38,0.103500,,0.098000,0.103500,0.112,14.6
39,0.106000,,0.098000,0.106000,0.113,14.7
40,0.104967,,0.098000,0.106000,0.116,14.8
41,0.106967,,0.098000,0.106967,0.130,14.9
42,0.108600,,0.098000,0.108600,0.113,15.0
43,0.107717,,0.098000,0.108600,0.113,15.1
44,0.108800,,0.098000,0.108800,0.112,15.3
45,0.109067,,0.098000,0.109067,0.113,15.4
