epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.077017,0.104000,0.104000,0.077017,10.380,10.4
1,0.077150,,0.104000,0.077150,1.222,11.6
2,0.076033,,0.104000,0.077150,1.739,13.3
3,0.077417,,0.104000,0.077417,1.309,14.7
4,0.076933,,0.104000,0.077417,1.324,16.0
5,0.077500,,0.104000,0.077500,1.328,17.3
6,0.078250,,0.104000,0.078250,1.309,18.6
7,0.080067,,0.104000,0.080067,1.315,19.9
8,0.078350,,0.104000,0.080067,1.305,21.2
9,0.081167,,0.104000,0.081167,1.308,22.5
10,0.081950,,0.104000,0.081950,1.309,23.8
11,0.081483,,0.104000,0.081950,1.307,25.2
12,0.082667,,0.104000,0.082667,1.307,26.5
13,0.083650,,0.104000,0.083650,1.310,27.8
14,0.083733,,0.104000,0.083733,1.307,29.1
15,0.082967,,0.104000,0.083733,1.309,30.4
16,0.083500,,0.104000,0.083733,1.309,31.7
17,0.083150,,0.104000,0.083733,1.310,33.0
18,0.084317,,0.104000,0.084317,1.307,34.3
19,0.085700,,0.104000,0.085700,1.310,35.6
20,0.087617,,0.104000,0.087617,1.309,36.9
21,0.090117,,0.104000,0.090117,1.309,38.2
22,0.089617,,0.104000,0.090117,1.306,39.5
23,0.089783,,0.104000,0.090117,1.307,40.9
24,0.091683,,0.104000,0.091683,1.309,42.2
25,0.093983,,0.104000,0.093983,1.311,43.5
26,0.094333,,0.104000,0.094333,1.308,44.8
27,0.096450,,0.104000,0.096450,1.310,46.1
28,0.098617,,0.104000,0.098617,1.308,47.4
29,0.101483,,0.104000,0.101483,1.319,48.7
30,0.103233,,0.104000,0.103233,1.316,50.0
31,0.107450,,0.104000,0.107450,1.317,51.4
32,0.108267,,0.104000,0.108267,1.319,52.7
33,0.111133,,0.104000,0.111133,1.318,54.0
34,0.109533,,0.104000,0.111133,1.308,55.3
35,0.114400,,0.104000,0.114400,1.310,56.6
36,0.114100,,0.104000,0.114400,1.309,57.9
37,0.113017,,0.104000,0.114400,1.309,59.2
38,0.114667,,0.104000,0.114667,1.310,60.5
39,0.116367,,0.104000,0.116367,1.309,61.8
40,0.117133,,0.104000,0.117133,1.313,63.2
41,0.115667,,0.104000,0.117133,1.309,64.5
42,0.115783,,0.104000,0.117133,1.309,65.8
43,0.115950,,0.104000,0.117133,1.318,67.1
44,0.116117,,0.104000,0.117133,1.309,68.4
45,0.115167,,0.104000,0.117133,1.309,69.7
46,0.114467,,0.104000,0.117133,1.309,71.0
47,0.114117,,0.104000,0.117133,1.308,72.3
48,0.112717,,0.104000,0.117133,1.309,73.6
49,0.113033,,0.104000,0.117133,1.308,74.9
50,0.110783,,0.104000,0.117133,1.309,76.3
51,0.110600,,0.104000,0.117133,1.308,77.6
52,0.109167,,0.104000,0.117133,1.318,78.9
53,0.108800,,0.104000,0.117133,1.309,80.2
54,0.108067,,0.104000,0.117133,1.310,81.5
55,0.108217,,0.104000,0.117133,1.309,82.8
56,0.106500,,0.104000,0.117133,1.308,84.1
57,0.107133,,0.104000,0.117133,1.308,85.4
58,0.106550,,0.104000,0.117133,1.308,86.7
59,0.106467,,0.104000,0.117133,1.309,88.0
60,0.105367,,0.104000,0.117133,1.318,89.4
61,0.105317,,0.104000,0.117133,1.317,90.7
62,0.105133,,0.104000,0.117133,1.318,92.0
63,0.105517,,0.104000,0.117133,1.318,93.3
64,0.104817,,0.104000,0.117133,1.318,94.6
65,0.105000,,0.104000,0.117133,1.309,95.9
66,0.104600,,0.104000,0.117133,1.309,97.2
67,0.105000,,0.104000,0.117133,1.309,98.6
68,0.104500,,0.104000,0.117133,1.307,99.9
69,0.105033,,0.104000,0.117133,1.310,101.2
70,0.105317,,0.104000,0.117133,1.308,102.5
71,0.105117,,0.104000,0.117133,1.319,103.8
