epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
0,0.100917,0.07500000298023224,0.075000,0.100917,0.05683999881148338,0.6654565930366516,9.405,9.4
1,0.102817,,0.075000,0.102817,,,0.212,9.6
2,0.100700,,0.075000,0.102817,,,0.145,9.8
3,0.101167,,0.075000,0.102817,,,0.146,9.9
4,0.101367,,0.075000,0.102817,,,0.151,10.1
5,0.101167,,0.075000,0.102817,,,0.143,10.2
6,0.103133,,0.075000,0.103133,,,0.146,10.3
7,0.100833,,0.075000,0.103133,,,0.143,10.5
8,0.100483,,0.075000,0.103133,,,0.145,10.6
9,0.102000,,0.075000,0.103133,,,0.142,10.8
10,0.103200,,0.075000,0.103200,,,0.145,10.9
11,0.098300,,0.075000,0.103200,,,0.142,11.1
12,0.103350,,0.075000,0.103350,,,0.147,11.2
13,0.100250,,0.075000,0.103350,,,0.143,11.4
14,0.101600,,0.075000,0.103350,,,0.137,11.5
15,0.101200,,0.075000,0.103350,,,0.144,11.6
16,0.102233,,0.075000,0.103350,,,0.145,11.8
17,0.104267,,0.075000,0.104267,,,0.146,11.9
18,0.100633,,0.075000,0.104267,,,0.142,12.1
19,0.104883,,0.075000,0.104883,,,0.147,12.2
20,0.103400,,0.075000,0.104883,,,0.148,12.4
21,0.103000,,0.075000,0.104883,,,0.146,12.5
22,0.104317,,0.075000,0.104883,,,0.141,12.7
23,0.100433,,0.075000,0.104883,,,0.144,12.8
24,0.103250,,0.075000,0.104883,,,0.142,12.9
25,0.104133,,0.075000,0.104883,,,0.142,13.1
26,0.105267,,0.075000,0.105267,,,0.143,13.2
27,0.105033,,0.075000,0.105267,,,0.141,13.4
28,0.104633,,0.075000,0.105267,,,0.202,13.6
29,0.105283,,0.075000,0.105283,,,0.143,13.7
30,0.104033,,0.075000,0.105283,,,0.140,13.8
31,0.105300,,0.075000,0.105300,,,0.142,14.0
32,0.105017,,0.075000,0.105300,,,0.141,14.1
33,0.104500,,0.075000,0.105300,,,0.141,14.3
34,0.106150,,0.075000,0.106150,,,0.139,14.4
35,0.107983,,0.075000,0.107983,,,0.142,14.6
36,0.106117,,0.075000,0.107983,,,0.143,14.7
37,0.107533,,0.075000,0.107983,,,0.143,14.8
38,0.106283,,0.075000,0.107983,,,0.139,15.0
39,0.107050,,0.075000,0.107983,,,0.140,15.1
40,0.104833,,0.075000,0.107983,,,0.142,15.3
41,0.107683,,0.075000,0.107983,,,0.140,15.4
42,0.107900,,0.075000,0.107983,,,0.139,15.5
43,0.110117,,0.075000,0.110117,,,0.143,15.7
44,0.108817,,0.075000,0.110117,,,0.143,15.8
45,0.108400,,0.075000,0.110117,,,0.142,16.0
46,0.110850,,0.075000,0.110850,,,0.142,16.1
47,0.109533,,0.075000,0.110850,,,0.140,16.3
48,0.110617,,0.075000,0.110850,,,0.143,16.4
49,0.110767,,0.075000,0.110850,,,0.140,16.5
50,0.110267,,0.075000,0.110850,,,0.144,16.7
51,0.110750,,0.075000,0.110850,,,0.142,16.8
52,0.109467,,0.075000,0.110850,,,0.140,17.0
53,0.115200,,0.075000,0.115200,,,0.139,17.1
54,0.112417,,0.075000,0.115200,,,0.142,17.2
55,0.111617,,0.075000,0.115200,,,0.142,17.4
56,0.113583,,0.075000,0.115200,,,0.145,17.5
57,0.113400,,0.075000,0.115200,,,0.140,17.7
58,0.114150,,0.075000,0.115200,,,0.141,17.8
59,0.114183,,0.075000,0.115200,,,0.141,18.0
60,0.116417,,0.075000,0.116417,,,0.142,18.1
61,0.113600,,0.075000,0.116417,,,0.142,18.2
62,0.115583,,0.075000,0.116417,,,0.141,18.4
63,0.116450,,0.075000,0.116450,,,0.139,18.5
64,0.117067,,0.075000,0.117067,,,0.142,18.7
65,0.118133,,0.075000,0.118133,,,0.143,18.8
66,0.116417,,0.075000,0.118133,,,0.140,18.9
67,0.117067,,0.075000,0.118133,,,0.138,19.1
68,0.116483,,0.075000,0.118133,,,0.143,19.2
69,0.119200,,0.075000,0.119200,,,0.142,19.4
70,0.121283,,0.075000,0.121283,,,0.143,19.5
71,0.120267,,0.075000,0.121283,,,0.142,19.6
72,0.120817,,0.075000,0.121283,,,0.143,19.8
73,0.121350,,0.075000,0.121350,,,0.144,19.9
74,0.119850,,0.075000,0.121350,,,0.140,20.1
75,0.121750,,0.075000,0.121750,,,0.141,20.2
76,0.123800,,0.075000,0.123800,,,0.142,20.4
77,0.123350,,0.075000,0.123800,,,0.138,20.5
78,0.125983,,0.075000,0.125983,,,0.140,20.6
79,0.126550,,0.075000,0.126550,,,0.143,20.8
80,0.127533,,0.075000,0.127533,,,0.140,20.9
