epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.099417,0.094750,0.094750,0.099417,157.275,157.3
1,0.100333,,0.094750,0.100333,13.890,171.2
2,0.101283,,0.094750,0.101283,14.839,186.0
3,0.099317,,0.094750,0.101283,13.804,199.8
4,0.100767,,0.094750,0.101283,13.952,213.8
5,0.100917,,0.094750,0.101283,14.074,227.8
6,0.101633,,0.094750,0.101633,14.556,242.4
7,0.099583,,0.094750,0.101633,14.240,256.6
8,0.100300,,0.094750,0.101633,13.887,270.5
9,0.101783,,0.094750,0.101783,13.971,284.5
10,0.098983,,0.094750,0.101783,14.484,299.0
11,0.098817,,0.094750,0.101783,13.724,312.7
12,0.099833,,0.094750,0.101783,14.005,326.7
13,0.101283,,0.094750,0.101783,14.190,340.9
14,0.099083,,0.094750,0.101783,14.243,355.1
15,0.096317,,0.094750,0.101783,13.915,369.1
16,0.100517,,0.094750,0.101783,13.981,383.0
17,0.098750,,0.094750,0.101783,13.894,396.9
18,0.098933,,0.094750,0.101783,14.131,411.1
19,0.099933,,0.094750,0.101783,13.847,424.9
20,0.100767,,0.094750,0.101783,14.000,438.9
21,0.101067,,0.094750,0.101783,14.158,453.1
22,0.099900,,0.094750,0.101783,13.809,466.9
23,0.099267,,0.094750,0.101783,13.961,480.8
24,0.099150,,0.094750,0.101783,13.962,494.8
25,0.099900,,0.094750,0.101783,14.117,508.9
26,0.099217,,0.094750,0.101783,14.571,523.5
27,0.099383,,0.094750,0.101783,14.418,537.9
28,0.100133,,0.094750,0.101783,14.218,552.1
29,0.098567,,0.094750,0.101783,14.153,566.3
30,0.100417,,0.094750,0.101783,13.894,580.2
31,0.100850,,0.094750,0.101783,13.863,594.0
32,0.099283,,0.094750,0.101783,14.036,608.1
33,0.099917,,0.094750,0.101783,14.188,622.3
34,0.097467,,0.094750,0.101783,14.116,636.4
35,0.100167,,0.094750,0.101783,14.065,650.4
36,0.099933,,0.094750,0.101783,14.194,664.6
37,0.099300,,0.094750,0.101783,14.098,678.7
38,0.101333,,0.094750,0.101783,14.033,692.8
39,0.099700,,0.094750,0.101783,13.850,706.6
40,0.099333,,0.094750,0.101783,14.215,720.8
41,0.099083,,0.094750,0.101783,14.562,735.4
42,0.099883,,0.094750,0.101783,13.956,749.3
43,0.099717,,0.094750,0.101783,14.449,763.8
44,0.099100,,0.094750,0.101783,14.049,777.8
45,0.099017,,0.094750,0.101783,13.651,791.5
46,0.099333,,0.094750,0.101783,13.924,805.4
47,0.099100,,0.094750,0.101783,14.071,819.5
48,0.099083,,0.094750,0.101783,13.783,833.3
49,0.100767,,0.094750,0.101783,13.799,847.1
50,0.100083,0.105750,0.105750,0.101783,13.847,860.9
51,0.099583,,0.105750,0.101783,14.469,875.4
52,0.099350,,0.105750,0.101783,14.349,889.7
53,0.099517,,0.105750,0.101783,14.180,903.9
54,0.100717,,0.105750,0.101783,14.135,918.0
55,0.100333,,0.105750,0.101783,15.458,933.5
56,0.099983,,0.105750,0.101783,15.681,949.2
57,0.101083,,0.105750,0.101783,15.630,964.8
58,0.097950,,0.105750,0.101783,15.982,980.8
59,0.099067,,0.105750,0.101783,15.512,996.3
60,0.098967,,0.105750,0.101783,15.885,1012.2
61,0.100300,,0.105750,0.101783,15.696,1027.9
62,0.100050,,0.105750,0.101783,15.732,1043.6
63,0.099400,,0.105750,0.101783,16.045,1059.7
64,0.100367,,0.105750,0.101783,15.525,1075.2
65,0.101217,,0.105750,0.101783,15.622,1090.8
66,0.098667,,0.105750,0.101783,15.361,1106.2
67,0.101367,,0.105750,0.101783,15.615,1121.8
68,0.100250,,0.105750,0.101783,15.455,1137.2
69,0.103783,,0.105750,0.103783,15.490,1152.7
70,0.100667,,0.105750,0.103783,15.484,1168.2
71,0.096417,,0.105750,0.103783,15.731,1184.0
72,0.099717,,0.105750,0.103783,15.780,1199.7
73,0.100600,,0.105750,0.103783,15.377,1215.1
74,0.097383,,0.105750,0.103783,15.580,1230.7
75,0.098933,,0.105750,0.103783,15.519,1246.2
76,0.102683,,0.105750,0.103783,16.003,1262.2
77,0.100133,,0.105750,0.103783,15.692,1277.9
78,0.101800,,0.105750,0.103783,15.693,1293.6
79,0.100733,,0.105750,0.103783,15.383,1309.0
80,0.099283,,0.105750,0.103783,15.432,1324.4
81,0.098817,,0.105750,0.103783,15.930,1340.3
82,0.099967,,0.105750,0.103783,15.851,1356.2
83,0.099517,,0.105750,0.103783,15.805,1372.0
84,0.099683,,0.105750,0.103783,15.650,1387.6
85,0.100467,,0.105750,0.103783,15.501,1403.1
86,0.102367,,0.105750,0.103783,15.346,1418.5
87,0.103067,,0.105750,0.103783,15.470,1434.0
88,0.100067,,0.105750,0.103783,15.659,1449.6
89,0.099667,,0.105750,0.103783,15.252,1464.9
90,0.102050,,0.105750,0.103783,15.612,1480.5
91,0.101983,,0.105750,0.103783,15.461,1495.9
92,0.102533,,0.105750,0.103783,15.691,1511.6
93,0.101533,,0.105750,0.103783,15.385,1527.0
94,0.100383,,0.105750,0.103783,15.737,1542.8
95,0.098883,,0.105750,0.103783,15.567,1558.3
96,0.103483,,0.105750,0.103783,15.678,1574.0
97,0.100917,,0.105750,0.103783,15.485,1589.5
98,0.099833,,0.105750,0.103783,15.549,1605.0
99,0.100833,,0.105750,0.103783,15.274,1620.3
100,0.099950,0.105750,0.105750,0.103783,15.767,1636.1
101,0.098633,,0.105750,0.103783,15.531,1651.6
102,0.099000,,0.105750,0.103783,15.434,1667.0
103,0.101183,,0.105750,0.103783,15.720,1682.8
104,0.100183,,0.105750,0.103783,15.412,1698.2
105,0.099767,,0.105750,0.103783,15.804,1714.0
106,0.101950,,0.105750,0.103783,15.678,1729.7
107,0.099950,,0.105750,0.103783,15.364,1745.0
108,0.101000,,0.105750,0.103783,15.765,1760.8
109,0.099950,,0.105750,0.103783,15.731,1776.5
110,0.100850,,0.105750,0.103783,15.396,1791.9
111,0.099250,,0.105750,0.103783,15.642,1807.6
112,0.100833,,0.105750,0.103783,15.942,1823.5
113,0.100583,,0.105750,0.103783,13.822,1837.3
114,0.101483,,0.105750,0.103783,14.060,1851.4
115,0.100983,,0.105750,0.103783,13.940,1865.3
116,0.100667,,0.105750,0.103783,13.878,1879.2
117,0.098983,,0.105750,0.103783,13.748,1892.9
118,0.101250,,0.105750,0.103783,14.451,1907.4
119,0.102400,,0.105750,0.103783,15.391,1922.8
120,0.100650,,0.105750,0.103783,15.018,1937.8
121,0.098383,,0.105750,0.103783,14.866,1952.7
122,0.101700,,0.105750,0.103783,13.948,1966.6
123,0.099683,,0.105750,0.103783,14.146,1980.8
124,0.102583,,0.105750,0.103783,15.093,1995.9
125,0.100183,,0.105750,0.103783,14.488,2010.4
126,0.099317,,0.105750,0.103783,14.222,2024.6
127,0.101350,,0.105750,0.103783,13.890,2038.5
128,0.102167,,0.105750,0.103783,14.406,2052.9
129,0.101417,,0.105750,0.103783,14.284,2067.2
