epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
0,0.099167,0.08650000393390656,0.086500,0.099167,0.0,1.0,18.140,18.1
1,0.098450,,0.086500,0.099167,,,0.428,18.6
2,0.098300,,0.086500,0.099167,,,0.368,18.9
3,0.100083,,0.086500,0.100083,,,0.348,19.3
4,0.102517,,0.086500,0.102517,,,0.346,19.6
5,0.100017,,0.086500,0.102517,,,0.412,20.0
6,0.100267,,0.086500,0.102517,,,0.347,20.4
7,0.098833,,0.086500,0.102517,,,0.345,20.7
8,0.097333,,0.086500,0.102517,,,0.345,21.1
9,0.099017,,0.086500,0.102517,,,0.349,21.4
10,0.102117,,0.086500,0.102517,,,0.348,21.8
11,0.099850,,0.086500,0.102517,,,0.407,22.2
12,0.097667,,0.086500,0.102517,,,0.348,22.5
13,0.099383,,0.086500,0.102517,,,0.345,22.9
14,0.097967,,0.086500,0.102517,,,0.347,23.2
15,0.100867,,0.086500,0.102517,,,0.349,23.6
16,0.099717,,0.086500,0.102517,,,0.343,23.9
17,0.099700,,0.086500,0.102517,,,0.413,24.3
18,0.100267,,0.086500,0.102517,,,0.346,24.7
19,0.100950,,0.086500,0.102517,,,0.346,25.0
20,0.098783,,0.086500,0.102517,,,0.346,25.4
21,0.098883,,0.086500,0.102517,,,0.349,25.7
22,0.100033,,0.086500,0.102517,,,0.347,26.1
23,0.099400,,0.086500,0.102517,,,0.414,26.5
24,0.098633,,0.086500,0.102517,,,0.347,26.8
25,0.097967,,0.086500,0.102517,,,0.344,27.2
26,0.100600,,0.086500,0.102517,,,0.343,27.5
27,0.100417,,0.086500,0.102517,,,0.344,27.9
28,0.098333,,0.086500,0.102517,,,0.350,28.2
29,0.101033,,0.086500,0.102517,,,0.414,28.6
30,0.098583,,0.086500,0.102517,,,0.347,29.0
31,0.101983,,0.086500,0.102517,,,0.366,29.3
32,0.101750,,0.086500,0.102517,,,0.344,29.7
33,0.103417,,0.086500,0.103417,,,0.371,30.0
34,0.099600,,0.086500,0.103417,,,0.366,30.4
35,0.100833,,0.086500,0.103417,,,0.433,30.8
36,0.102633,,0.086500,0.103417,,,0.365,31.2
37,0.099100,,0.086500,0.103417,,,0.359,31.6
38,0.102633,,0.086500,0.103417,,,0.369,31.9
39,0.100300,,0.086500,0.103417,,,0.367,32.3
40,0.098917,,0.086500,0.103417,,,0.367,32.7
41,0.098467,,0.086500,0.103417,,,0.436,33.1
42,0.099517,,0.086500,0.103417,,,0.365,33.5
43,0.102250,,0.086500,0.103417,,,0.364,33.8
44,0.101150,,0.086500,0.103417,,,0.364,34.2
45,0.099717,,0.086500,0.103417,,,0.365,34.6
46,0.101383,,0.086500,0.103417,,,0.368,34.9
47,0.100200,,0.086500,0.103417,,,0.433,35.4
48,0.100817,,0.086500,0.103417,,,0.368,35.7
49,0.100533,,0.086500,0.103417,,,0.367,36.1
50,0.099217,,0.086500,0.103417,,,0.369,36.5
51,0.101067,,0.086500,0.103417,,,0.367,36.8
52,0.102867,,0.086500,0.103417,,,0.367,37.2
53,0.100100,,0.086500,0.103417,,,0.433,37.6
54,0.100033,,0.086500,0.103417,,,0.368,38.0
55,0.099083,,0.086500,0.103417,,,0.372,38.4
56,0.101167,,0.086500,0.103417,,,0.361,38.7
57,0.103300,,0.086500,0.103417,,,0.364,39.1
58,0.100233,,0.086500,0.103417,,,0.361,39.5
59,0.101850,,0.086500,0.103417,,,0.427,39.9
60,0.098417,,0.086500,0.103417,,,0.360,40.3
61,0.101917,,0.086500,0.103417,,,0.362,40.6
62,0.101483,,0.086500,0.103417,,,0.362,41.0
63,0.099417,,0.086500,0.103417,,,0.357,41.3
64,0.101650,,0.086500,0.103417,,,0.358,41.7
65,0.100300,,0.086500,0.103417,,,0.431,42.1
66,0.099400,,0.086500,0.103417,,,0.362,42.5
67,0.100183,,0.086500,0.103417,,,0.364,42.8
68,0.099633,,0.086500,0.103417,,,0.361,43.2
69,0.101367,,0.086500,0.103417,,,0.363,43.6
70,0.100483,,0.086500,0.103417,,,0.361,43.9
71,0.102983,,0.086500,0.103417,,,0.421,44.4
72,0.101067,,0.086500,0.103417,,,0.362,44.7
73,0.100567,,0.086500,0.103417,,,0.359,45.1
74,0.099283,,0.086500,0.103417,,,0.356,45.4
75,0.100883,,0.086500,0.103417,,,0.359,45.8
76,0.100967,,0.086500,0.103417,,,0.360,46.2
77,0.101017,,0.086500,0.103417,,,0.424,46.6
78,0.100733,,0.086500,0.103417,,,0.357,46.9
79,0.100850,,0.086500,0.103417,,,0.361,47.3
80,0.099817,,0.086500,0.103417,,,0.359,47.7
81,0.101700,,0.086500,0.103417,,,0.360,48.0
